GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Gini Index,Margin of Error; Gini Index
1600000US2625320,2625320,"Elk Rapids village, Michigan",0.4658,0.0342
1600000US2625360,2625360,"Elkton village, Michigan",0.4313,0.0444
1600000US2625420,2625420,"Ellsworth village, Michigan",0.3484,0.0668
1600000US2625780,2625780,"Elsie village, Michigan",0.3460,0.0313
1600000US2625940,2625940,"Emmett village, Michigan",0.3890,0.0480
1600000US2625980,2625980,"Empire village, Michigan",0.4385,0.0590
1600000US2626360,2626360,"Escanaba city, Michigan",0.4696,0.0436
1600000US2626420,2626420,"Essexville city, Michigan",0.3541,0.0345
1600000US2626460,2626460,"Estral Beach village, Michigan",0.4027,0.0520
1600000US2626640,2626640,"Evart city, Michigan",0.5111,0.0436
1600000US2627080,2627080,"Fairgrove village, Michigan",0.3776,0.0485
1600000US2627160,2627160,"Fair Plain CDP, Michigan",0.4136,0.0285
1600000US2627380,2627380,"Farmington city, Michigan",0.4222,0.0251
1600000US2627440,2627440,"Farmington Hills city, Michigan",0.4479,0.0129
1600000US2627500,2627500,"Farwell village, Michigan",0.4227,0.0433
1600000US2627740,2627740,"Fennville city, Michigan",0.4160,0.0494
1600000US2627760,2627760,"Fenton city, Michigan",0.3880,0.0186
1600000US2627880,2627880,"Ferndale city, Michigan",0.4352,0.0251
1600000US2627960,2627960,"Ferrysburg city, Michigan",0.4666,0.0512
1600000US2628000,2628000,"Fife Lake village, Michigan",0.4095,0.0605
1600000US2628060,2628060,"Filer City CDP, Michigan",0.3960,0.1483
1600000US2628360,2628360,"Flat Rock city, Michigan",0.4114,0.0302
1600000US2629000,2629000,"Flint city, Michigan",0.4862,0.0144
1600000US2629200,2629200,"Flushing city, Michigan",0.4044,0.0280
1600000US2629580,2629580,"Forest Hills CDP, Michigan",0.4319,0.0210
1600000US2629660,2629660,"Forestville village, Michigan",0.3171,0.0934
1600000US2629920,2629920,"Fostoria CDP, Michigan",0.3380,0.0478
1600000US2629940,2629940,"Fountain village, Michigan",0.4484,0.1299
1600000US2630040,2630040,"Fowler village, Michigan",0.3749,0.0374
1600000US2630060,2630060,"Fowlerville village, Michigan",0.3796,0.0446
1600000US2630200,2630200,"Frankenmuth city, Michigan",0.4343,0.0384
